title,date,url,hashtag
나를 나답게 해주는 것들은 무엇일까? | 책소개 | [커피와 담배] | ➰여울책방📚,2021-11-26,https://www.youtube.com/watch?v=YcMcf1j5WgE,
[장편소설오디오북]양 치는 언덕/빙점의 작가 미우라아야코의 秀作,2022-01-09,https://www.youtube.com/watch?v=MPWQeTndLLg,#처마밑의작은새
"[돈 안 들고 부작용 없는 최고의 자연치유요법, 맨발로 걸어라] 오디오북 책읽어주는여자 Korea Reading Books",2021-12-29,https://www.youtube.com/watch?v=m3jv-crzBHg,#맨발걷기 #자연치유요법책읽어주는여자 #오디오북
딸에게 보내는 심리학 편지 / 오디오북 / 56분 / 책읽어주는여자 / 따뜻한책한잔,2021-06-23,https://www.youtube.com/watch?v=oBbe1rUiVjw,#따뜻한책한잔 #책읽어주는여자 #출근할때듣는 #자기전에듣는 #오디오북 #딸에게보내는심리학편지
[모두를 위한 통합교육을 그리다] 책소개 영상,2021-08-23,https://www.youtube.com/watch?v=OWnmn0PXtBk,
때를 기다릴 것인가 때를 만들어 갈 것인가/자기계발아마존,2022-02-24,https://www.youtube.com/watch?v=2FRQKum4MNs,#자기계발 #아마존 #자기계발아마존
[나를 위한 행복한 인간관계 지침서] 김경일의 지혜로운 인간생활 책읽어주는여자 오디오북 podcast,2022-04-17,https://www.youtube.com/watch?v=xgB2xujPk4Q,#지혜로운인간생활 #김경일 #책읽어주는여자 #오디오북
매 직(The MAGIC)/ 시크릿/ 론다 번/ 오디오북/ 책리뷰/ 책읽어주는여자/ 따뜻한책한잔/ 자기계발,2022-05-29,https://www.youtube.com/watch?v=zYV_SbOpnmE,#매직 #시크릿 #론다번 #책읽어주는여자 #오디오북 #따뜻한책한잔 #출근할때듣는 #자기전에듣는 #책리뷰 #자기계발
인간의 참된 만족은  [오늘의 한 문장] 책읽기좋은날 #shorts,2021-09-10,https://www.youtube.com/shorts/33eAYyFLzp4,
[토일렛프레스] 예술가와 네 발 달린 친구들 책소개 영상(60’),2021-10-01,https://www.youtube.com/watch?v=0FgdqHNr6eo,#토일렛프레스 #예술가와네발달린친구들 #길정현 #표지 #투명박 #서체 #초점 #닥스훈트 #문화체육관광부 #문광부 #선정작 #인문 #교양 #인문교양 #예술가 #작가 #화가 #반려동물 #동물 #도서 #신간 #한국미술저작권위원회 #한국저작권위원회
※광고 아님 주의※ 항준이 아내 김은희 작가에게 추천받은 책? #알쓸범잡 EP.14 | tvN 210704 방송,2021-07-08,https://www.youtube.com/watch?v=rbIgZv1jtQU,#알쓸범잡 #알아두면 #사건사고
[최상위 부자가 말하는 돈에 대한 모든 것] 돈의 속성 개정증보판 책읽어주는여자 오디오북,2022-03-02,https://www.youtube.com/watch?v=o1Bvo7lWaXY,#돈의속성 #김승호 #책읽어주는여자 #오디오북
자면서 듣는 재미있는 고전 / 오성과 한음/ ASMR,2021-11-24,https://www.youtube.com/watch?v=BvD8DNSvnKA,#달세뇨 #오디오북
"[유혹, 상대의 마음을 빼앗는 최고의 마법] 오디오북 책읽어주는여자 podcast",2022-05-04,https://www.youtube.com/watch?v=658wQkeFZKY,#유혹 #책읽어주는여자 #오디오북
[사람과 싸우지 말고 문제와 싸워라] 혼자 이기지 마라 책읽어주는여자 오디오북 Korea Reading Books,2021-09-29,https://www.youtube.com/watch?v=nK2FNEf8Pjs,#마음의장벽을허무는전략 #문제와싸워라 #책읽어주는여자 #오디오북
성공의 비밀은 자기 일상에 있다 #shorts,2022-04-16,https://www.youtube.com/shorts/w6HxOyz7Jk4,
[기분이 좋아지는 말투의 비밀] 나는 당신이 스트레스 없이 말하면 좋겠습니다 책읽어주는여자 오디오북 Korea Reading Books,2021-06-18,https://www.youtube.com/watch?v=LP_vU5-sePc,#대화의비밀 #천천히말하기 #책읽어주는여자 #오디오북
셜록홈즈 단편명작선 [춤추는 그림] 잠잘 때 듣기 좋은 ASMR 오디오북/ Sherlock Holmes 오디오북,2021-08-15,https://www.youtube.com/watch?v=c3Ens_dxAp8,#세계명작오디오북 #셜록홈즈 #추리소설
[그 많던 싱아는 누가 다 먹었을까│인기 한국 문학 오디오북 베스트 5선] 마음이 편해지는 책듣고 힐링하기│오디오북 책읽어주는여자 Korea Reading Books,2021-12-21,https://www.youtube.com/watch?v=u3kblf3irSQ,#한국문학베스트 #박완서 #이문열 #난설헌 #책읽어주는여자 #오디오북
[오래 살고 싶다면 이 곳을 피하세요] 오디오북 책읽어주는남자 Korea Reading Books,2021-11-28,https://www.youtube.com/watch?v=uDu7U1fxOFY,#좋은기운 #책읽어주는여자 #오디오북
[숲속의 현자가 전하는 인생에서 가장 소중한 지혜] 내가 틀릴 수도 있습니다│책읽어주는여자 오디오북 podcast,2022-04-27,https://www.youtube.com/watch?v=Tn7ESNJEwDk,#지혜가자라는자 #숲속의현자 #책읽어주는여자 #오디오북
5월 첫번째 만화책들 등장!!,2022-05-03,https://www.youtube.com/watch?v=ONkfgKtTjlo,
🌜잠잘자는 #옛날이야기 | 잠자리동화 | 전래동화 #오디오북 | 수면동화 | ASMR | vlog,2022-05-31,https://www.youtube.com/watch?v=Fm1xqVcH46E,#잠자리동화 #전래동화 #옛날이야기 #수면동화 #태교동화 #알오티비 #책읽어주는
눈을 맞추자 인생이 달라졌다/ 1분 오디오북 #shorts,2021-07-29,https://www.youtube.com/shorts/Q9hHuyrjYpI,
[잠잘때 듣기 좋은 인기 에세이 2탄] 나는 나로 살기로 했다 │마음이 편해지는 책듣고 힐링하기│수면 낭독│오디오북 책읽어주는여자 Korea Reading Books,2021-12-07,https://www.youtube.com/watch?v=10BPrESqDiY,#잠잘때듣는인기에세이 #책읽어주는여자 #오디오북
[문학작품 속 심리학 여행-친애하는 내 마음에게] 가족은 왜 서로에게 상처를 주는 걸까 책읽어주는여자 오디오북 Korea Reading Books,2021-09-23,https://www.youtube.com/watch?v=aKCxGSkmV50,#문학작품속심리학 #심리학여행 #책읽어주는여자 #오디오북
"[책추천] 인생책 공개. 2021년 최고의 인생책 베스트 5 (BEST 5) | 인생책, 추천책, 베스트책, 책소개, 책추천",2022-01-05,https://www.youtube.com/watch?v=nethynimhmA,#인생책 #추천책 #베스트책 #독서결산 #책결산 #책소개 #북튜버 #작가 #인문학자 #김종건
