제목,업로드일,주소
"150 / 160 / 170cm 다양한 소재의 원피스 핏 보여드려요👗 (+원피스코디, 키 별 쇼핑팁!)  [핏보고서 EP.02]",2021-11-19,https://www.youtube.com/watch?v=KYJj06Ly9Ao
"2172978)뷔스티에 롱 원피스/패턴,Bustier Long Dress",2021-07-29,https://www.youtube.com/watch?v=I7UOVYz9C0M
뷔스티에원피스 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-04-05,https://www.youtube.com/watch?v=0z7UMFSWyN8
여름엔 원피스 하나로 충분해! 베스트 중 베스트만 모았다💚 77사이즈 통통녀 여름 원피스 추천 | 66사이즈 | 88사이즈 | 통통한 여자 코디 | 패션 하울 | 데일리룩,2021-08-07,https://www.youtube.com/watch?v=oZr5DTD4fM0
