,product_name,price,review,likes,views,total_sales,type
55,5/20 배송 selvedge denim pants deep indigo,"99,000원","7,371","21,918",2.9만 회 이상,4.9천 개 이상,데님팬츠
56,[CONA 9085] (숏버전옵션) 딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님(진청),"52,000원 46,800원","3,291","27,418",3.1만 회 이상,7.4천 개 이상,데님팬츠
57,[오리지널스]COMFY ONE TUCK SELVAGE DENIM PANTS_INDIGO,"89,000원 71,200원","4,815","17,967",5.4만 회 이상,8.9천 개 이상,데님팬츠
58,이지고잉 크림진 [레귤러 테이퍼드],"59,800원 51,000원","7,344","12,807",8.4천 회 이상,2.8천 개 이상,데님팬츠
59,스티즈 B31 인디고 로우,"129,000원 59,000원","5,755","12,636",1.5만 회 이상,1.2만 개 이상,데님팬츠
60,5/25 배송 [테이퍼드핏]MILD BLUE CHIP,"84,000원 45,000원","3,350","15,213",2.6만 회 이상,8.7천 개 이상,데님팬츠
61,Stone Worker DS Greyish / NewCrop,"89,000원 55,000원","6,732","9,117",2.9천 회 이상,800개 이상,데님팬츠
62,1897 ICE SHOWER JEANS [WIDE STRAIGHT],"78,000원 72,540원","1,585","7,708",3.8만 회 이상,4.2천 개 이상,데님팬츠
63,커츠 B14 블랙 로우,"119,000원 59,000원","8,177","12,855",3.4천 회 이상,2.7천 개 이상,데님팬츠
64,와이드 데님 팬츠 (R.INDIGO),"49,000원 44,100원","1,300","7,124",2.6만 회 이상,5천 개 이상,데님팬츠
65,이지 와이드 데님 팬츠 라이트 인디고,"49,000원 43,600원",267,"2,399",2.6만 회 이상,1.2천 개 이상,데님팬츠
66,와이드 데님 팬츠 [라이트 인디고],"39,900원","5,585","18,650",3만 회 이상,1.2만 개 이상,데님팬츠
67,1713 slim cutting jeans / 슬림핏 (무릎 / 밑단 컷팅),"79,000원 45,000원","4,823","12,298",6.8천 회 이상,1.9천 개 이상,데님팬츠
68,ODPL 와이드 데님 팬츠 화이트,"62,000원 49,600원","1,368","5,244",1.9만 회 이상,3.1천 개 이상,데님팬츠
69,oam.factory X PLAC 스텝 M22 미드 블루,"139,000원 99,000원",169,"1,626",5.3만 회 이상,800개 이상,데님팬츠
70,스트레이트 데님 팬츠 [워시드 블랙],"39,900원",759,"3,054",1.5만 회 이상,2.3천 개 이상,데님팬츠
71,[테이퍼드핏]CHARMING BLUE CHIP,"84,000원 45,000원","2,169","6,551",1.3만 회 이상,4.2천 개 이상,데님팬츠
72,레귤러 핏 데님 팬츠 [딥 인디고],"39,900원",116,929,2만 회 이상,700개 이상,데님팬츠
73,스티치 포인트 데님 팬츠 블랙,"109,000원 87,200원","3,068","12,272",1.9만 회 이상,5.7천 개 이상,데님팬츠
74,WHITE SPREAD CARPENTER DENIM,"109,000원 65,000원","3,807","11,674",1.2만 회 이상,4.3천 개 이상,데님팬츠
75,[유아인 착용 상품] 레귤러 핏 데님 팬츠 [라이트 인디고],"39,900원","7,197","15,559",2.1만 회 이상,1.1만 개 이상,데님팬츠
76,1981 BLACK STANDARD3 JEANS [CROP SLIM],"78,000원 72,540원","6,832","16,036",6.8천 회 이상,5.3천 개 이상,데님팬츠
77,oam.factory X PLAC 스텝 M21 카펜터 로우,"149,000원 109,000원",120,"1,899",5.2만 회 이상,700개 이상,데님팬츠
78,모어 와이드 데님 팬츠 (LIGHT BLUE),"49,000원 39,000원","1,600","6,083",1.5만 회 이상,4.5천 개 이상,데님팬츠
79,PALE BLUE CHIP(크롭테이퍼드핏),"84,000원 38,000원",820,"3,210",1.3만 회 이상,2.2천 개 이상,데님팬츠
80,M0096 슬림핏 미니멀 인디고 데님,"59,000원 53,000원","7,155","5,304",1.1천 회 이상,400개 이상,데님팬츠
81,#0220 Elaboration straight crop fit,"96,000원 82,000원","2,928","7,150",1만 회 이상,2.9천 개 이상,데님팬츠
82,5/31 배송 [LMOOD X 깡 스타일리스트] 테리 인디고 데님 팬츠 블루,"128,000원 76,800원",54,"1,084",6.1만 회 이상,600개 이상,데님팬츠
83,1941 OBJECT BLACK JEANS [CROP STRAIGHT],"78,000원 72,540원","6,385","11,070",4.5천 회 이상,2.9천 개 이상,데님팬츠
84,Rusty Rose - MOD7s,"99,000원 79,200원","3,918","9,016",1.2만 회 이상,2.6천 개 이상,데님팬츠
85,Night Rain - MOD7 crop,"102,000원 81,600원","5,947","11,175",4.4천 회 이상,2.5천 개 이상,데님팬츠
86,BUCKLE WIDE DENIM PANTS BLUE,"69,000원 51,750원",611,"14,158",3.4만 회 이상,2.2천 개 이상,데님팬츠
87,커브드 와이드 데님 팬츠_인디고,"107,000원 85,600원",549,"4,277",4.4만 회 이상,1.4천 개 이상,데님팬츠
88,Clean Deep One Tuck Denim Pants [Indigo],"45,000원","1,662","5,919",2.7만 회 이상,3.4천 개 이상,데님팬츠
89,#0085 greysh blue crop jeans,"93,000원 83,700원","5,425","10,038",3.7천 회 이상,1.4천 개 이상,데님팬츠
