,Timestamp,Weekday,Embedded_text,Emojis,Comments,Likes,Retweets,Tweet URL
206,2022-05-04 04:14:17,Wednesday,"1. 걔가 나한테 보내준 셀카를 올리길 바라는거임? 올려치기던 뭐던 열폭으로 밖에 안 보임
2. 인종 간 지능 차이 믿어서 80년대에 강제 불임 당한 유색 여성들한테 그 말 하셈. 이러한 희생 때문에 이미 학문적으로 반박이 다 됐음.
총균쇠랑 물고기는 존재하지 않는다 책 추천 드려요.
1
5",,1,0,5,https://twitter.com/killingbladee/status/1521704745290842113
207,2022-05-04 00:47:28,Wednesday,"17kg 6포와 퍼피1포 (사진상 강아지도 있는 것 같아서요) 
주문완료 
후원해주신 총 14분께 진심으로 감사드립니다! 

북한산 개들에 대한 이야기는 아래 권도연 작가의 북한산이란 책을 추천드립니다. 
https://book.naver.com/bookdb/book_detail.nhn?bid=21293969…
트윗 인용하기
동생집
@dongsengzip
 · 5월 4일
지난번 동생집에서 북한산 강아지들을 위한 사료 후원입니다. 안타깝게도 최저가를 맞추지는 못해서.. 어떻게 후원을 하면 좋을까 고민을 하다가...
만원씩 후원해주실 총 18명이 모집되면 동생집에서 차액을 부담하여 17kg 사료 6포를 북한산 활동가님께 전달하겠습니다.  
이 스레드 보기
4
4",,0,4,4,https://twitter.com/dongsengzip/status/1521652698759991296
208,2022-05-04 13:41:49,Wednesday,"아마따
책 추천해조
1
2",,1,0,2,https://twitter.com/khj6d4/status/1521847570255204352
209,2022-05-04 16:21:22,Wednesday,"어린이날을 기념해 어린이라는 세계라는 책을 추천드립니다. 어린이를 보는 저의 시선을 완전히 바꾸어준 책. 읽으면서 많이 반성하고 배우고 감사했어요
7",,0,0,7,https://twitter.com/realleeinhere/status/1521887720024739841
210,2022-05-04 13:20:40,Wednesday,"내일은 오랜만에 서점 가야겠다. 책 살 건데 추천 좀.
3
1",,3,0,1,https://twitter.com/Immaj01/status/1521842245506191360
211,2022-05-04 14:33:48,Wednesday,"나도 쿱스 무슨 책 읽었는지 너무너무 궁금해
책 추천 리스트 주라 쿱스야
1
2",,1,0,2,https://twitter.com/h3ll0mysumm3r/status/1521860651429535744
212,2022-05-04 04:29:20,Wednesday,"별거 아닌걸로 경쟁심 불태우는 알케 비케 보고싶음 
비케가 책 추천 해준다 했는데 했는데
그거봤는데?
그거도
그거도
아!!어떻게든추천해주마
1",,0,0,1,https://twitter.com/ika1_1031/status/1521708530637897728
213,2022-05-04 14:24:20,Wednesday," ☆트위터 교류해시 추천☆
──────────────────
별님님은 #마음한_트친에게_책_펼쳐서_아무_문장_써준다 ♪
https://gaeyou.com/t/?262901
2
1",🐝,2,0,1,https://twitter.com/star_tendo/status/1521858266246311936
214,2022-05-04 14:36:14,Wednesday,"이번 맠다는 이미 구매한 책이 많아 이렇게 샀다. 
추억의 작가님과 추천작으로 구성해보았습니다...
치치 몇년만이냐ㅠㅠ
2",⚡ 🍑,2,0,0,https://twitter.com/minarinuri/status/1521861260668973056
215,2022-05-04 00:59:08,Wednesday,"아빠가 내가 좋아하는 책 한권 사달라고 하셧는데
다 이상한 내용이라 추천을 못하겠어요
3",,0,0,3,https://twitter.com/2uckyCat/status/1521655631601889280
216,2022-05-04 14:51:42,Wednesday,"쿱뜨야 책추천좀 ㅠㅠ
트윗 인용하기
밀리의 서재
@bookclub_millie
 · 5월 4일
@pledis_17 초특급 글로벌 아티스트 세븐틴과 캐럿들의 총괄리더 에스쿱스님이 일본에서 밀리로 독서하신다던데! 이 신기방기뿡뿡방기한 소식에 밀리는 심장이 떨려서 뭐부터 해야할지 모르겠지만 ㅠㅠ 일단 냅다 밀리도 쿱랑해 캐럿들도 럿랑해 세븐틴도 캐럿도 독서와 무제한 친해지리
이 스레드 보기
1",💎 🍒 💎 💖 💙 💛,0,0,1,https://twitter.com/17SVT_WW/status/1521865153112723462
217,2022-05-04 15:36:34,Wednesday,재밌는 책 쫌 추천해조,,0,0,0,https://twitter.com/jay__ignacio_er/status/1521876445043523585
218,2022-05-04 14:24:08,Wednesday,"책 추천 받아요.. 자기개발서, 에세이 제외....",,0,0,0,https://twitter.com/assssid1/status/1521858218406051840
219,2022-05-04 08:09:19,Wednesday,"중립악
책추천 받습니다
트윗 인용하기
웜
@wor_rn
 · 2020년 12월 5일
아 아
잠시 조사 나왔습니다
인용이나 퍼블트로 본인 성향 알려주세요 궁금해요!!
이 스레드 보기
1",,1,0,0,https://twitter.com/ik_myeong14/status/1521763891910701057
220,2022-05-04 11:15:59,Wednesday,"말도안되
북맠해둿던
책추천타래
지우셧나바..",,0,0,0,https://twitter.com/duck_soon_/status/1521810866077057024
221,2022-05-04 06:38:30,Wednesday,"많 ㅘ카페 책 추천좀
기억하리?
응",🍯,0,0,0,https://twitter.com/s_uum_/status/1521741036162531328
222,2022-05-04 20:40:19,Wednesday,"마크 모비우스 (이머징마켓을 움직이는 미다스의 손) 태양맘- 추천드립니다 아주 만족스러운 책입니다. 가격대비 최고인 상품인것같습니다. 적극 추천합니다. 어린이들에게 아주 좋  한번 적극 추천드립…
yes24.com
이머징마켓을 움직이는 미다스의 손 마크 모비우스 - YES24
템플턴 그룹의 이머징마켓 총괄 매니저, 금융위기에서도 30%이상의 수익률을 올린 유일한 펀드로 더욱 유명해진 ‘모비우스 박사’의 이야기를 다루고 있는 책이다. 이 책은 1987년에 1억 달러로 시작한 템플턴의 이머징마켓 투자펀드를 20년 만에 360억 달러 규...",,0,0,0,https://twitter.com/oojoonet/status/1521952887508979712
