제목,업로드일,주소
예술적인 색감의 니트 뷔스티에 원피스,2022-3-8.,https://www.youtube.com/watch?v=44oszYboOtk
"행복여 | 앤 체크 브이 라인 모직 텍스쳐 뷔스티에 원피스 | 18,700원 | 라이브방송 | 뷔스티에원피스 | 겨울원피스",2021-12-29.,https://www.youtube.com/shorts/LJozPS0ODkI
2단계 동손 - 강아지 뷔스티에 원피스,2021-7-1.,https://www.youtube.com/watch?v=kj83rU5WTBU
"행복여/소녀 프릴 끈 고방체크 플레어 멜빵 뷔스티에 원피스/14,900원/멜빵원피스코디/체크원피스",2022-4-12.,https://www.youtube.com/shorts/K9W_-7gOzzA
"행복한여자 | 귀여운 주륵 단추 스퀘어넥 코듀로이 뷔스티에 원피스 | 17,100원 | 라이브방송 | 러블리룩 | 뷔스티에추천",2021-11-30.,https://www.youtube.com/shorts/j9E-5tvAu2M
"행복여 | 플리츠 플라워 브이넥 끈 조절 쉬폰 뷔스티에 원피스 | 15,600원 | 라이브방송 | 봄신상 | 데일리 캐쥬얼 코디",2022-3-14.,https://www.youtube.com/shorts/BbAsU0n_PWs
DIY 미싱 초보ok! 패턴없이 옷만들기 |  뷔스티에투피스 [상의편👕],2021-8-12.,https://www.youtube.com/watch?v=lla_bPiL1oc
(eng)뷔스티에 리폼으로 투피스 만드는 법🪡 💜| Recycling with me : Project.4 | SAIDA사이다,2022-3-16.,https://www.youtube.com/watch?v=3gPbUTU3F1Q
DIY Recycling Jeans|청바지리폼|Dress|끈 원피스|뷔스티에|Reform Old Your Clothes|옷 만들기|청치마|Skirt|Refashion,2021-6-5.,https://www.youtube.com/watch?v=77B2nBGqnYg
데일리앤 플라워 뷔스티에 캉캉 프릴 롱 원피스 포에버,2022-2-3.,https://www.youtube.com/shorts/JWCca67yimc
여름 레이어드 룩 뷔스티에 원피스 - summer dress,2021-8-21.,https://www.youtube.com/shorts/Mhcj2E42FTA
쉬폰 뷔스티에 레이어드 나시 밴딩 롱원피스 줄리OPS.,2021-6-7.,https://www.youtube.com/shorts/KM_EpN5E1tM
"[봄신상] 청바지, 가디건, 버킷햇, 롱스커트, 뷔스티에 원피스,바람막이 여자 옷 추천,코디 22.03.18",2022-3-19.,https://www.youtube.com/watch?v=Qj83IEx_rfQ
[2-75]등파진 롱원피스 패턴그리기,2021-7-31.,https://www.youtube.com/watch?v=it5uUxKGaQ8
"제인준 22.02.24 2부(봄신상,뷔스티에원피스,샤체크자켓,플라워니트조끼,테니스트레이닝복,슬링백구두,팬티,브라)",2022-2-25.,https://www.youtube.com/watch?v=GRHHDvHb1oU
WAWAMOM(특허브랜드) 여성 여름 뷔스티에 원피스 멜빵원피스 CJV19,2021-7-7.,https://www.youtube.com/shorts/5Z_bT9tFl3I
[미싱 일기] 7살 차이 자매룩 /뷔스티에 원피스 주머니 달린 버전 만들기,2021-7-22.,https://www.youtube.com/watch?v=iq789JpK7_g
"[라프TV] 19,500원 / ﻿﻿레이스 뷔스티에원피스 나시원피스 롱원피스﻿ ﻿﻿ #shorts (#동대문재고세일 #선착순 #무료나눔)",2022-3-18.,https://www.youtube.com/shorts/mxiOFzcRiXs
광고 뷔스티에원피스 무조건 사야하는! 소개해드려요 추천 TOP10,2022-5-1.,https://www.youtube.com/watch?v=OB1VIZRFj9A
WAWAMOM(특허브랜드) 여성 여름 뷔스티에 원피스 멜빵원피스 CJV16,2021-7-7.,https://www.youtube.com/shorts/Soti_L8Pfa4
DIY Recycling Pants|바지리폼|Dress|끈원피스|뷔스티에|Reform Old Your Clothes|안입는옷|치마|옷 만들기|면바지|Skirt|Refashion,2021-9-25.,https://www.youtube.com/watch?v=P-EqP7lGEfY
