,title,date,url,hashtag
11496,가을 겨울 예쁜 루즈핏니트💘데일리로 빠질 수 없는 흑청스커트ㅣ#겨울니트추천 #흑청치마,2021-11-11,https://www.youtube.com/shorts/A1qvFvGSr28,#청치마코디 #루즈핏니트 #롱부츠코디
15092,💐SPRING FASHION HAUL 봄 패션하울  블라우스 셔츠로 해본 봄룩북 #패션하울 #에이블리 #fashionhaul,2022-04-10,https://www.youtube.com/watch?v=ucANy6pk4KQ,
13860,로블록스 스킨 추천 가을코디 여자편 캐릭터 꾸미기,2021-09-09,https://www.youtube.com/watch?v=r_J1D2QLQzU,#로블록스 #로블스킨 #구마씨 #로블코디 #로블록스스킨추천 #로블록스아바타꾸미기
14367,겨울 필수 패션템 하울🧣🛍 | winter items | 이쁜거 귀여운거 이것저것 다 사모았어 | 쇼핑하울 | 노드그린 코스 앤아더스토리즈 콜드프레임,2021-12-10,https://www.youtube.com/watch?v=iRLGkW3L2uQ,#패션하울 #겨울템 #노드그린
2523,반바지 입기 싫은 사람? (Feat.데케트),2022-05-22,https://www.youtube.com/watch?v=u_zDlIMkcm8,
12480,"vlogㅣ봄비가 부슬부슬☔️ㅣ데일리룩ㅣ봄옷하울(시티브리즈, 한올, 미뉴에트)ㅣ트렌치코트 입고 인생 첫 오마카세🍣ㅣ3가지 부츠 코디ㅣ스테이피플, 스튜디오톰보이 셋업, 헌터 레인부츠",2022-03-20,https://www.youtube.com/watch?v=NdT6c6zVNk8,#브이로그 #일상브이로그 #직장인브이로그 #데일리룩 #봄데일리룩 #출근룩 #부츠코디 #봄자켓 #언박싱 #시티브리즈 #봄셔츠 #화이트셔츠 #셔츠코디 #한올 #미뉴에트 #트렌디어패럴 #스테이피플 #스튜디오톰보이 #어거스트하모니 #톰보이 #미쏘 #라룸 #트렌치코트 #엘바테게브 #오소이 #봄옷하울 #봄옷쇼핑 #오마카세 #순천오마카세 #스시만월 #순천맛집
6189,"아우터 5벌에 10만원도 안한다구요?! / 타오바오 겨울아우터 하울 / 쉽겟 하울 / 겨울하울/ 퍼자켓, 야상, 면자켓, 트렌치코트, 패딩",2021-12-10,https://www.youtube.com/watch?v=3XhDdDpWGvI,
3666,지금 사도 후회없는 ‘커버낫’ 시즌오프 아이템추천,2021-12-16,https://www.youtube.com/watch?v=R9VuUmcrX3E,#시즌오프 #커버낫 #숏패딩
3338,똑같은 맨투맨이 아냐! 올 가을 유행 종류별 맨투맨 코디 추천│패션하울 룩북│데일리룩 꾸안꾸룩,2021-09-27,https://www.youtube.com/watch?v=DDlzRSaTkGQ,#맨투맨코디 #코디추천 #패션하울 #데일리룩 #꾸안꾸룩 #가을코디추천
6902,감탄 9부10부 히든 옆밴딩 코튼 치노팬츠,2021-08-27,https://www.youtube.com/shorts/t_NR5baPIhA,#남자티셔츠 #남친룩 #남친선물 #남자바지 #남자자켓 #남자옷 #트레이닝세트 #일상룩 #남자로퍼 #남자청바지코디 #슬랙스추천 #일상룩코디 #남성패션코디 #남자옷쇼핑 #모던룩코디 #커플룩코디 #맛집투어 #긴팔티
188,[품질] NOB 남자 앙고라 아가일 체크 패턴 오버핏 니트_D215NITTIMD063,2021-09-17,https://www.youtube.com/watch?v=tsRb4iywRC8,
6754,비르스타일 데일리 남친룩 글렌체크 오버핏 자켓,2021-09-05,https://www.youtube.com/shorts/-8m1Khl6b9g,
5288,청바지 이염 확인 방법과 예방법,2021-10-11,https://www.youtube.com/watch?v=nHIRAAX0qIY,
6911,가성비 인기상품 h라인롱스커트 최고 추천순위 top10 정리,2022-03-29,https://www.youtube.com/watch?v=a72z0s7O_go,#바블링브룩 #호카트 #세이스타일 #탱커스 #라쿤걸 #화이트폭스 #빼빼 #오키진 #네모
8680,"첫만남부터 데이트까지, 뭘 입을지 고민된다면..? 데이트룩북 💑 DATE LOOK BOOK (feat. JJ JIGOTT)",2022-05-21,https://www.youtube.com/watch?v=5UQTcnh4tNI,#데이트룩
5052,시원하게 입는 썸머 하이 부츠컷 슬랙스,2021-06-09,https://www.youtube.com/shorts/ypBt__GaGQ4,
10169,[규마켓]  비비드 앙고라 오버핏 울니트,2022-01-15,https://www.youtube.com/shorts/uxJIiAmh5n0,
6109,[LIVEWEAR] 심플와이 - 프릴 뷔스티에 어깨 리본 끈 원피스,2022-04-21,https://www.youtube.com/shorts/ehNP54yUu6A,
4689,봄내음 살랑살랑 ✜ 반짝 추위에 속지않지 /아가일무늬/셀프네일/봄네일/네일글리터/네일드릴제거/selfnails/shortnails/argyle nails/spring nails,2022-02-08,https://www.youtube.com/watch?v=aYA1klZbtRk,
7489,H라인 파티 미니스커트 H-line party miniskirt.,2022-02-07,https://www.youtube.com/watch?v=wgTktm0pv6I,
7603,데님 멜빵 원피스 앞포켓 H라인흑청 연청 Q2032901,2022-04-18,https://www.youtube.com/shorts/v7Fj3smgT00,
2322,허리 밴딩팬츠 M 사이즈 피팅,2021-10-04,https://www.youtube.com/watch?v=wg2XnEj54k0,
