,product_name,price,review,likes,views,total_sales,type
42,테이퍼드 치노 팬츠 [베이지],"32,900원","5,303","5,979",6.9천 회 이상,2.4천 개 이상,코튼팬츠
43,시티보이 투 턱 와이드 데님팬츠 딥블루,"69,000원 48,300원",527,"5,667",1.8만 회 이상,1.7천 개 이상,코튼팬츠
44,코튼 린넨 테이퍼드 이지 팬츠 [블랙],"31,900원","2,526","3,835",6천 회 이상,3.5천 개 이상,코튼팬츠
45,코튼 린넨 테이퍼드 이지 팬츠 [베이지],"31,900원","2,326","3,686",6.4천 회 이상,2.5천 개 이상,코튼팬츠
46,레귤러 핏 치노 팬츠 [라이트 그레이],"32,900원 16,390원","1,497","2,136",7.1천 회 이상,3.5천 개 이상,코튼팬츠
47,CP 306 워싱 테이퍼드핏 면팬츠 BK,"59,000원 42,000원","3,766","4,957",2.9천 회 이상,2.2천 개 이상,코튼팬츠
48,5/24 배송 리얼 와이드 치노팬츠(카키),"42,000원 29,400원","1,613","7,089",1.7만 회 이상,5.3천 개 이상,코튼팬츠
49,스콘 와이드 벌룬팬츠 베이지 YHLP2350,"34,900원 31,400원",479,"1,806",8.8천 회 이상,1.3천 개 이상,코튼팬츠
50,베이지 세미 와이드 치노 팬츠 (421321LYAA),"45,900원 22,950원",244,941,1.3만 회 이상,700개 이상,코튼팬츠
51,컴퍼터블 체크 팬츠_블랙 (기모 선택 가능),"39,000원 35,100원","1,422","9,606",1만 회 이상,6천 개 이상,코튼팬츠
52,레귤러 핏 치노 팬츠 [블랙],"32,900원","1,655","2,462",5.9천 회 이상,2.9천 개 이상,코튼팬츠
53,CP 306 워싱 테이퍼드핏 면팬츠 BG,"59,000원 42,000원","3,626","5,840",2.4천 회 이상,1.2천 개 이상,코튼팬츠
54,테이퍼드 치노 팬츠 [블랙],"32,900원","4,268","5,975",4.8천 회 이상,3.5천 개 이상,코튼팬츠
55,[패키지] 로우키 밴딩 쿨 벌룬 팬츠 2PACK CJLP7492,"69,800원 41,800원","1,005","3,059",5천 회 이상,2.9천 개 이상,코튼팬츠
56,크라우 와이드 카고 벌룬팬츠 카키 YHLP2284,"39,800원","2,028","6,267",5.2천 회 이상,3천 개 이상,코튼팬츠
57,P[1011]롱 와이드 코튼 팬츠(블랙),"68,000원 29,000원","1,911","6,255",6.7천 회 이상,2.7천 개 이상,코튼팬츠
58,와이드 절개 벌룬팬츠 코튼 베이지,"69,000원 55,200원",344,"1,802",9.2천 회 이상,900개 이상,코튼팬츠
59,테이퍼드 밴딩 치노 팬츠 [BEIGE],"66,000원 59,400원",186,"1,686",1.8만 회 이상,1천 개 이상,코튼팬츠
60,리얼 와이드 치노팬츠(베이지),"42,000원 29,400원",478,"1,570",7.9천 회 이상,1.6천 개 이상,코튼팬츠
61,로우키 밴딩 쿨 벌룬 팬츠 블랙 CJLP7492,"34,900원 27,900원",500,"2,091",5.3천 회 이상,1.7천 개 이상,코튼팬츠
62,RELAXED TAPERED FIT PANTS (Black),"79,000원 51,350원",32,532,1만 회 이상,300개 이상,코튼팬츠
63,P[7005]린넨 롱 와이드 밴딩 팬츠(블랙),"62,000원 25,900원","1,222","3,399",4.2천 회 이상,2.7천 개 이상,코튼팬츠
64,레귤러 핏 치노 팬츠 [크림],"32,900원","1,651","2,280",4.5천 회 이상,2천 개 이상,코튼팬츠
65,코튼 린넨 테이퍼드 이지 팬츠 [라이트 그레이],"31,900원","1,706","2,130",3.3천 회 이상,1.3천 개 이상,코튼팬츠
66,RELAXED TAPERED FIT PANTS (Khaki),"79,000원 51,350원",47,"1,147",1.5만 회 이상,300개 이상,코튼팬츠
67,S.L PANTS - BLACK,"119,000원",149,"2,745",2.5만 회 이상,600개 이상,코튼팬츠
68,루즈테이퍼드 팬츠 Chino,"119,000원","1,137","2,755",1만 회 이상,1.5천 개 이상,코튼팬츠
69,린넨 9부 와이드 밴딩 팬츠,"40,000원 21,800원","1,238","2,481",2.4천 회 이상,1.1천 개 이상,코튼팬츠
70,테이퍼드 와이드 원턱 린넨 팬츠_Off White,"36,000원 29,800원",41,917,2.6만 회 이상,300개 이상,코튼팬츠
71,라이트웨이트 코튼 와이드 이지 팬츠 [베이지],"30,900원 27,790원",843,"2,665",9.4천 회 이상,1.4천 개 이상,코튼팬츠
72,와이드 절개 벌룬팬츠 코튼 차콜,"69,000원 55,200원",377,"2,729",1만 회 이상,1.2천 개 이상,코튼팬츠
73,[패키지] 츄로스 코듀로이 밴딩 팬츠 2PACK CJLP7423,"71,800원 59,800원","2,949","12,136",2.7천 회 이상,5.7천 개 이상,코튼팬츠
74,CP 306 워싱 테이퍼드핏 면팬츠 CR,"59,000원 42,000원","1,499","3,490",3천 회 이상,2.1천 개 이상,코튼팬츠
75,와이드 코듀로이 팬츠 [블랙],"32,900원","3,200","6,037",1.8천 회 이상,3.2천 개 이상,코튼팬츠
76,시티보이 빅포켓 와이드 밴딩 카고팬츠 연베이지,"59,000원 47,200원",105,"1,230",6.8천 회 이상,500개 이상,코튼팬츠
77,원턱 와이드 코튼 팬츠 (NAVY BLACK),"49,000원 36,500원",229,"1,746",7.9천 회 이상,1.1천 개 이상,코튼팬츠
78,레귤러 핏 코듀로이 팬츠 [베이지],"32,900원","3,120","4,030",1천 회 이상,6.2천 개 이상,코튼팬츠
79,[Woman]오디너리 와이드 린넨 팬츠_Oatmeal,"36,000원 29,800원",14,565,1.1만 회 이상,200개 이상,코튼팬츠
80,[패키지] 시밀러 린넨 와이드 팬츠-6컬러,"79,600원 49,600원",17,271,5.2천 회 이상,100개 이상,코튼팬츠
81,루즈핏 핀턱 밴딩 와이드 팬츠 - KHAKI,"58,000원 40,600원","1,699","4,934",5.6천 회 이상,3.2천 개 이상,코튼팬츠
82,루즈테이퍼드 팬츠 Black,"119,000원",978,"2,367",7천 회 이상,1.8천 개 이상,코튼팬츠
83,[22SS] [패키지] 바인 코튼 밴딩팬츠 2PACK JNLP7591,"75,800원 49,800원",22,285,4.6천 회 이상,100개 이상,코튼팬츠
84,[Woman]오디너리 와이드 린넨 팬츠_Off White,"36,000원 29,800원",9,707,1.3만 회 이상,100개 이상,코튼팬츠
85,레귤러 핏 코듀로이 팬츠 [블랙],"32,900원","2,821","4,795",2.5천 회 이상,4.9천 개 이상,코튼팬츠
86,오디너리 테이퍼드 와이드 원턱 팬츠_Begie,"60,000원 44,900원",90,"1,177",1만 회 이상,400개 이상,코튼팬츠
87,5/27 배송 와이드 테이퍼드 치노 팬츠 (라이트 카키),"148,000원 133,200원",495,"3,504",5.3만 회 이상,1.8천 개 이상,코튼팬츠
88,P[7009]린넨 롱 와이드 밴딩 팬츠(라이트베이지),"62,000원 25,900원","1,136","3,613",4.2천 회 이상,2천 개 이상,코튼팬츠
89,와이드 테이퍼드 치노팬츠(베이지),"42,000원 29,400원",323,"1,125",5.3천 회 이상,800개 이상,코튼팬츠
