,product_name,price,review,likes,views,total_sales,type
37,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울,"57,000원 34,900원","13,430","36,650",7.1천 회 이상,5.8만 개 이상,슈트팬츠/슬랙스
38,와이드 에센셜 베이직 밴딩 슬랙스 블랙,"49,000원 33,900원",243,"2,735",2.7만 회 이상,1.4천 개 이상,슈트팬츠/슬랙스
39,라이트웨이트 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","4,737","6,884",2.1만 회 이상,8.3천 개 이상,슈트팬츠/슬랙스
40,세미 와이드 히든 밴딩 슬랙스 [차콜 그레이],"32,900원","3,585","3,953",1.3만 회 이상,4.9천 개 이상,슈트팬츠/슬랙스
41,세미 부츠컷 슬랙스 [블랙],"49,000원 29,500원","2,667","13,011",1.8만 회 이상,7.9천 개 이상,슈트팬츠/슬랙스
42,[섀도우 밴딩]롱 와이드 슬랙스 블랙_FW,"62,000원","9,979","12,041",2.7천 회 이상,2.1천 개 이상,슈트팬츠/슬랙스
43,[드로우핏X깡스타일리스트] 밴딩 테이퍼드 슬랙스 [GREY],"60,000원 49,800원",132,"1,716",2.7만 회 이상,800개 이상,슈트팬츠/슬랙스
44,라이트웨이트 와이드 드로스트링 밴딩 크롭 슬랙스 [블랙],"32,900원 26,290원","1,373","3,347",1.3만 회 이상,3.9천 개 이상,슈트팬츠/슬랙스
45,[섀도우밴딩]롱 와이드 슬랙스 블랙_SS,"58,000원","7,514","9,829",4.6천 회 이상,1.2천 개 이상,슈트팬츠/슬랙스
46,라이트웨이트 세미 와이드 히든 밴딩 슬랙스 [라이트 베이지],"32,900원","2,558","4,128",1.2만 회 이상,2.8천 개 이상,슈트팬츠/슬랙스
47,마스터 핏 9컷 슬랙스 블랙,"32,900원 29,400원","9,282","10,036",2천 회 이상,1.5천 개 이상,슈트팬츠/슬랙스
48,5/18 배송 [쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙],"34,900원","5,396","12,000",7.6만 회 이상,1만 개 이상,슈트팬츠/슬랙스
49,[유아인 착용 상품] 리얼 와이드 히든 밴딩 슬랙스 [미디엄 그레이],"32,900원","3,289","6,966",1.1만 회 이상,6.9천 개 이상,슈트팬츠/슬랙스
50,[드로우핏X깡스타일리스트] 밴딩 와이드 슬랙스 [GREY],"60,000원 49,800원",107,"1,868",2.3만 회 이상,700개 이상,슈트팬츠/슬랙스
51,라이트웨이트 테이퍼드 히든 밴딩 10부 슬랙스 [블랙],"32,900원","2,091","3,633",1.1만 회 이상,4.7천 개 이상,슈트팬츠/슬랙스
