,product_name,price,review,likes,views,total_sales,type
44,6/3 배송 딥 원턱 스웨트 버뮤다 반바지_멜란지그레이,"44,000원 24,900원",68,844,1만 회 이상,400개 이상,숏팬츠
45,우먼즈 스웨트 쇼츠 [블랙],"19,900원",55,"1,035",1.2만 회 이상,400개 이상,숏팬츠
46,6/21 배송 투턱 코튼 버뮤다 쇼츠_3 COLOR,"38,000원 29,100원",52,"1,109",1.5만 회 이상,400개 이상,숏팬츠
47,핀턱 치노 워싱 와이드 반바지 [블랙],"47,000원 41,500원",280,"1,477",7.1천 회 이상,1.1천 개 이상,숏팬츠
48,코튼 이지 쇼츠 [베이지],"20,900원","1,662","1,525",5.3천 회 이상,1.9천 개 이상,숏팬츠
49,위드 치노 쇼츠 베이지,"59,000원 53,100원",54,752,1.1만 회 이상,400개 이상,숏팬츠
50,BDU 와이드 카고 반바지 [카키],"53,000원 42,500원",203,"1,345",8.5천 회 이상,700개 이상,숏팬츠
51,트래블러 쇼츠 블랙,"55,000원 19,900원","1,678","3,242",4.6천 회 이상,1.3천 개 이상,숏팬츠
52,플랫 테리 스웨트 쇼츠 [미디엄 그레이],"26,900원",49,312,5.4천 회 이상,300개 이상,숏팬츠
53,3일 지연 SWEAT SHORTS MARCHE EMBLEM NEEDLEWORK_OATMEAL GREEN,"59,000원",114,"4,040",1.9만 회 이상,700개 이상,숏팬츠
54,G 쇼츠 Chino,"79,000원",197,"1,280",1.5만 회 이상,700개 이상,숏팬츠
55,치노 쇼츠 [블랙],"24,900원","1,065","1,498",4.2천 회 이상,1.4천 개 이상,숏팬츠
56,UA 트윌 밴딩 반바지 연베이지,"34,000원 17,900원","2,607","3,784",3.8천 회 이상,2.5천 개 이상,숏팬츠
57,3일 지연 WAFFLE SHORTS_GREEN WHITE,"52,000원",85,"1,977",1.9만 회 이상,600개 이상,숏팬츠
58,치노 쇼츠 [크림],"24,900원","1,040","1,430",5.8천 회 이상,1.8천 개 이상,숏팬츠
59,위드 치노 쇼츠 화이트,"59,000원 53,100원",54,407,6.8천 회 이상,300개 이상,숏팬츠
60,BDU 와이드 카고 반바지 [베이지],"53,000원 42,500원",205,"1,129",6.5천 회 이상,700개 이상,숏팬츠
61,패커블 윈드브레이커 쇼츠 블랙,"59,000원",55,"1,302",9.9천 회 이상,500개 이상,숏팬츠
62,3S 첼시 숏 팬츠 - 블랙:화이트 / GL0022,"45,000원 22,900원",684,"3,903",8.3천 회 이상,3천 개 이상,숏팬츠
63,복서 핏 스웨트 쇼츠 [블랙],"23,900원",17,365,4.9천 회 이상,300개 이상,숏팬츠
64,숏 팬츠 - 블랙:화이트 / FM2595,"55,000원 44,900원",228,"5,242",1.1만 회 이상,1천 개 이상,숏팬츠
65,5/16 배송 루즈핏 쇼츠-라이트그레이,"34,000원 31,500원",97,"1,895",1만 회 이상,500개 이상,숏팬츠
66,복서 핏 스웨트 쇼츠 [멜란지 그레이],"23,900원",21,367,5.9천 회 이상,200개 이상,숏팬츠
67,스우시 여성용 반바지 (블랙),"49,800원 33,900원",487,"7,846",1.3만 회 이상,400개 이상,숏팬츠
68,코튼 이지 쇼츠 [카키],"20,900원","1,769","1,525",3.2천 회 이상,2.1천 개 이상,숏팬츠
