,product_name,price,review,likes,views,total_sales,type
44,루즈핏 트레이닝 스웨트 팬츠,"34,800원 20,900원","2,814","6,197",1.1만 회 이상,4.6천 개 이상,트레이닝팬츠
45,원 턱 와이드 라운지 스웨트 팬츠 [블랙],"34,900원",208,"2,009",1.5만 회 이상,1.6천 개 이상,트레이닝팬츠
46,루즈핏 조거 트레이닝 스웨트 팬츠,"36,800원 21,900원","6,573","15,504",6.1천 회 이상,1.3만 개 이상,트레이닝팬츠
47,3스트라이프 우븐 팬츠 - 블랙 / GK8982,"65,000원 34,900원","1,229","5,149",1.5만 회 이상,4.5천 개 이상,트레이닝팬츠
48,스탠다드 스웨트 팬츠 - 멜란지 그레이,"32,900원 29,590원","8,195","12,680",6.3천 회 이상,5.2천 개 이상,트레이닝팬츠
49,원턱 와이드 트레이닝 팬츠 (블랙),"40,800원 23,900원","1,670","5,091",8.8천 회 이상,6.7천 개 이상,트레이닝팬츠
50,[패키지] 원턱 와이드 트레이닝 팬츠,"74,800원 43,900원","2,477","6,231",9.5천 회 이상,8천 개 이상,트레이닝팬츠
51,[2장 세트] 에센셜 조거 스웨트팬츠 (3color),"133,800원 41,900원","1,754","6,332",6.4천 회 이상,8.7천 개 이상,트레이닝팬츠
52,우먼즈 릴렉스드 라운지 스웨트 팬츠 [미디엄 그레이],"29,900원",134,"1,936",1.8만 회 이상,900개 이상,트레이닝팬츠
53,우먼즈 스웨트 팬츠 [미디엄 그레이],"25,900원 23,290원","3,554","10,892",8.1천 회 이상,6.3천 개 이상,트레이닝팬츠
54,Classic String Sweat Pants [Black],"39,000원","4,037","8,159",8천 회 이상,7.1천 개 이상,트레이닝팬츠
55,[실켓쭈리][여름버전추가]세미와이드 이지 트레이닝 스웨트팬츠(그레이),"65,000원 35,900원","2,285","9,276",9.5천 회 이상,6.7천 개 이상,트레이닝팬츠
56,로고 트레이닝 팬츠 - 그레이:실버 / H37071,"69,000원 49,900원","4,414","26,591",2.1만 회 이상,1.3만 개 이상,트레이닝팬츠
57,우먼즈 스웨트 팬츠 [블랙],"25,900원 23,290원","4,040","13,136",5.9천 회 이상,8천 개 이상,트레이닝팬츠
58,플리츠 와이드 밴딩 팬츠 [블랙],"32,900원",755,"4,243",1.9만 회 이상,2.4천 개 이상,트레이닝팬츠
59,와이드 스웨트 팬츠 [미디엄 그레이],"28,900원","2,369","5,464",7.4천 회 이상,6.5천 개 이상,트레이닝팬츠
60,MNC 트레이닝 스웨트 팬츠 그레이,"37,900원 33,500원","5,687","12,693",4.2천 회 이상,4.5천 개 이상,트레이닝팬츠
61,파이어버드 트랙팬츠 - 블랙 / GN3517,"99,000원 44,900원","2,257","11,887",1.6만 회 이상,7.4천 개 이상,트레이닝팬츠
62,3-스트라이프 트레이닝 팬츠 - 와인 / CM1410,"79,000원 24,900원","4,717","16,058",1.1만 회 이상,2.1천 개 이상,트레이닝팬츠
63,Brush NFND Logo String Sweat Pants - Black,"89,000원 43,500원",635,"7,360",1.5만 회 이상,3.1천 개 이상,트레이닝팬츠
64,라운지 스웨트 팬츠 [멜란지 그레이],"32,900원 29,590원","5,557","8,213",4.1천 회 이상,4.7천 개 이상,트레이닝팬츠
65,[기모선택] 와이드 스웻 팬츠 (CP0130-1),"35,000원 29,800원","4,190","13,756",5.4천 회 이상,6.1천 개 이상,트레이닝팬츠
66,MNC 트레이닝 스웨트 팬츠 블랙,"37,900원 33,500원","5,570","10,619",3천 회 이상,3.4천 개 이상,트레이닝팬츠
67,우먼즈 라운지 스웨트 팬츠 [오트밀],"25,900원 23,290원",878,"5,671",1.2만 회 이상,2.6천 개 이상,트레이닝팬츠
68,세미와이드 카고조거 스토퍼 Black,"89,000원 45,900원","3,651","13,364",1.2만 회 이상,6.8천 개 이상,트레이닝팬츠
69,와이드 스웨트 팬츠 [블랙],"28,900원","1,435","3,485",4.8천 회 이상,4.5천 개 이상,트레이닝팬츠
70,[기모선택] 와이드 스웻 팬츠 (CP0130),"35,000원 29,800원","3,602","11,595",3.4천 회 이상,5.5천 개 이상,트레이닝팬츠
71,와이드핏 트레이닝 스웨트 팬츠 (멜란지),"36,800원 21,900원","1,458","3,413",5.2천 회 이상,3.9천 개 이상,트레이닝팬츠
72,5/27 배송 Linen Cargo Jogger Pants Black,"72,000원 57,600원",90,"5,619",3.6만 회 이상,800개 이상,트레이닝팬츠
73,와이드 스웨트 조거 팬츠 블랙,"43,400원 30,400원",905,"3,254",7.3천 회 이상,1천 개 이상,트레이닝팬츠
74,BT18 CROP JOGGER PANTS (BLACK),"32,000원 29,900원","5,169","6,203",1.5천 회 이상,900개 이상,트레이닝팬츠
75,헤비웨이트 스웨트 팬츠 [미디엄 그레이],"33,900원","4,057","5,698",4.5천 회 이상,8.5천 개 이상,트레이닝팬츠
76,린넨 유틸리티 와이드 조거 팬츠_Black,"49,000원 39,000원",797,"3,040",1.1만 회 이상,300개 이상,트레이닝팬츠
77,TAG SWEATPANTS - BLACK,"49,000원 39,000원","2,281","14,066",1만 회 이상,1만 개 이상,트레이닝팬츠
78,레프리젠트 트랙 팬츠 (CP0011),"49,000원 32,000원","4,681","9,218",2.4천 회 이상,1.4천 개 이상,트레이닝팬츠
79,와이드 스웨트팬츠 블랙,"53,000원 37,100원","3,520","14,135",6.8천 회 이상,5.6천 개 이상,트레이닝팬츠
80,플랫 테리 라운지 스웨트 팬츠 [블랙],"33,900원",37,411,6.6천 회 이상,300개 이상,트레이닝팬츠
81,와이드 조거 팬츠 CP LJ715 CH,"47,000원 39,900원","4,403","11,060",3.2천 회 이상,2.3천 개 이상,트레이닝팬츠
82,사이드 파이핑 조거 팬츠 블랙,"52,000원 28,600원","3,571","23,555",5.5천 회 이상,3.6천 개 이상,트레이닝팬츠
83,와이드핏 트레이닝 스웨트 팬츠 (블랙),"36,800원 21,900원","1,145","3,631",4.4천 회 이상,3.8천 개 이상,트레이닝팬츠
84,코튼 카고 레귤러 팬츠 블랙,"56,000원 29,800원","2,584","12,826",8.4천 회 이상,4.3천 개 이상,트레이닝팬츠
85,Signature jogger pants - CREAM,"62,000원",353,"6,142",1.7만 회 이상,1.5천 개 이상,트레이닝팬츠
86,ss 미니멀 스탠다드 카고조거 슬랙스 Khaki,"89,000원 57,900원","2,741","5,955",8.6천 회 이상,1.6천 개 이상,트레이닝팬츠
87,스탠다드 스웨트 팬츠 - 블랙,"32,900원 29,590원","4,101","5,388",2천 회 이상,1.3천 개 이상,트레이닝팬츠
88,락업 트랙팬츠 - 블랙 / H41387,"89,000원 75,900원",939,"9,651",1.1만 회 이상,3.7천 개 이상,트레이닝팬츠
89,라운지 스웨트 팬츠 [블랙],"32,900원 29,590원","3,873","6,742",2.2천 회 이상,3.3천 개 이상,트레이닝팬츠
